method,gap,lower,upper,valid_bootstraps,release
atlas,-0.670006982551221,-3.9775840471053114,3.0316158048957473,196,0.16666666666666666
atlas_no_rejection,-0.670006982551221,-3.9775840471053114,3.0316158048957473,196,1.0
full_nearest,0.30549974267430385,-4.971039860553266,3.4754797104807156,196,1.0
ivw_meta,0.13592124711899453,-3.395610189661096,2.419741885866668,196,1.0
random_effects_meta,0.11992158962716026,-3.010933156429585,2.5183762685230735,196,1.0
rbf_kernel_ridge,-1.0653447116372468,-4.751602589226128,2.2836576172974796,196,1.0
ridge_meta_regression,-0.9769997859316325,-4.293449417308684,2.8293305030795017,196,1.0
semantic_forced,-0.261687036540695,-3.366213544180607,3.0558787807013195,196,1.0
unit_ridge_t_learner,-0.9622961496817969,-3.815139214019729,1.7115891071715637,196,1.0
