scenario,replicate,family,mask,cardinality,reference_value,planning_value
moderate,1,retained_certificates,60,4,0.0,0.0
moderate,1,retained_certificates,61,5,0.003840889585177365,0.0029462408323208678
moderate,1,retained_certificates,62,5,0.09130945630283716,0.09544720445552635
moderate,1,retained_certificates,63,6,0.09515034588801452,0.09839344528784721
moderate,2,operational,0,0,0.0,0.0
moderate,2,operational,1,1,2.3922242784617476,2.3922200944225
moderate,2,operational,2,1,2.1644538887118863,2.1633508690114946
moderate,2,operational,3,2,2.56677560987312,2.569374459639378
moderate,2,operational,4,1,0.42665141357759406,0.42665141357759406
moderate,2,operational,5,2,2.392224274539654,2.392220090505526
moderate,2,operational,6,2,2.217356598836899,2.217233645484156
moderate,2,operational,7,3,2.566776123303644,2.5693749550919103
moderate,2,operational,8,1,3.5424996269739495e-11,3.5424996269739495e-11
moderate,2,operational,9,2,2.3922243399309835,2.3922201558114926
moderate,2,operational,10,2,2.1644538887118037,2.163350869011413
moderate,2,operational,11,3,2.5667755598181885,2.5693744110789116
moderate,2,operational,12,2,0.42665141354798664,0.42665141354798664
moderate,2,operational,13,3,2.3922242737616077,2.3922200897284958
moderate,2,operational,14,3,2.217356598835305,2.2172336454824837
moderate,2,operational,15,4,2.566776028845295,2.5693748641061642
moderate,2,operational,16,1,2.2198831533695143,2.2198831533695143
moderate,2,operational,17,2,2.4862888882181187,2.4862961538226673
moderate,2,operational,18,2,2.48407537294577,2.4857669202235133
moderate,2,operational,19,3,2.6588226483057413,2.659626121098278
moderate,2,operational,20,2,2.1580664198815853,2.1580664198815853
moderate,2,operational,21,3,2.423309674146009,2.4220626040020363
moderate,2,operational,22,3,2.3930031088762513,2.3946369828079304
moderate,2,operational,23,4,2.571882810327733,2.573475923449039
moderate,2,operational,24,2,2.21988337537995,2.21988337537995
moderate,2,operational,25,3,2.4863216147612457,2.4863289725738635
moderate,2,operational,26,3,2.4840751250568385,2.4857666735439947
moderate,2,operational,27,4,2.658800425980825,2.65960407559214
moderate,2,operational,28,3,2.158061643286697,2.158061643286697
moderate,2,operational,29,4,2.423306860039776,2.4220597772315537
