surface,replicate,seed,method,target,estimate,released,lower,upper,data_access,truth,absolute_error,covered
constant,0,249443994,atlas,0,1.852336942690549,True,-0.3077059522128276,4.012379837593926,archive_summaries,2.0,0.14766305730945106,True
constant,0,249443994,atlas_no_rejection,0,1.852336942690549,True,0.043650625460876835,3.661023259920221,archive_summaries,2.0,0.14766305730945106,True
constant,0,249443994,semantic_forced,0,1.7054626911794943,True,0.543176162116837,2.8677492202421515,archive_summaries,2.0,0.29453730882050566,True
constant,0,249443994,ivw_meta,0,1.7323966142508742,True,,,archive_summaries,2.0,0.2676033857491258,
constant,0,249443994,random_effects_meta,0,1.7323966142508742,True,,,archive_summaries,2.0,0.2676033857491258,
constant,0,249443994,full_nearest,0,2.0973349238084,True,,,archive_summaries,2.0,0.09733492380840003,
constant,0,249443994,ridge_meta_regression,0,1.8110010912264596,True,,,archive_summaries,2.0,0.18899890877354042,
constant,0,249443994,rbf_kernel_ridge,0,1.8549552851666835,True,,,archive_summaries,2.0,0.1450447148333165,
constant,0,249443994,unit_ridge_t_learner,0,1.7510866783073944,True,,,source_individuals,2.0,0.2489133216926056,
constant,0,249443994,atlas,1,2.0485934280535525,True,-0.09002302309517818,4.187209879202284,archive_summaries,2.0,0.04859342805355249,True
constant,0,249443994,atlas_no_rejection,1,2.0485934280535525,True,0.2024236190321207,3.8947632370749843,archive_summaries,2.0,0.04859342805355249,True
constant,0,249443994,semantic_forced,1,1.7992061824120735,True,0.7708575413643037,2.8275548234598435,archive_summaries,2.0,0.20079381758792647,True
constant,0,249443994,ivw_meta,1,1.7323966142508742,True,,,archive_summaries,2.0,0.2676033857491258,
constant,0,249443994,random_effects_meta,1,1.7323966142508742,True,,,archive_summaries,2.0,0.2676033857491258,
constant,0,249443994,full_nearest,1,2.813811049958418,True,,,archive_summaries,2.0,0.8138110499584181,
constant,0,249443994,ridge_meta_regression,1,1.9457884123793232,True,,,archive_summaries,2.0,0.05421158762067679,
constant,0,249443994,rbf_kernel_ridge,1,2.029454218027886,True,,,archive_summaries,2.0,0.029454218027885837,
