bootstrap,method,target,estimate,released,lower,upper,data_access,reference,reference_se,gap
0,atlas,0,0.5435258141602566,False,-2.9928980124285793,4.079949640749093,archive_summaries,0.9526181479560005,1.325078766129791,-0.40909233379574395
0,atlas_no_rejection,0,0.5435258141602566,True,-2.63607422776047,3.7231258560809835,archive_summaries,0.9526181479560005,1.325078766129791,-0.40909233379574395
0,semantic_forced,0,2.101686824117203,True,0.3227241139754029,3.880649534259003,archive_summaries,0.9526181479560005,1.325078766129791,1.1490686761612023
0,ivw_meta,0,2.551168867291681,True,,,archive_summaries,0.9526181479560005,1.325078766129791,1.5985507193356803
0,random_effects_meta,0,2.5351692097998466,True,,,archive_summaries,0.9526181479560005,1.325078766129791,1.582551061843846
0,full_nearest,0,0.9993682163931537,True,,,archive_summaries,0.9526181479560005,1.325078766129791,0.046750068437153125
0,ridge_meta_regression,0,0.008159565650086797,True,,,archive_summaries,0.9526181479560005,1.325078766129791,-0.9444585823059137
0,rbf_kernel_ridge,0,-0.061227935497042196,True,,,archive_summaries,0.9526181479560005,1.325078766129791,-1.0138460834530427
0,unit_ridge_t_learner,0,1.0926095540131113,True,,,source_individuals,0.9526181479560005,1.325078766129791,0.1399914060571108
0,atlas,1,2.017197902889263,False,-1.7981679138087405,5.832563719587267,archive_summaries,4.1494449550453805,1.669416612904627,-2.1322470521561177
0,atlas_no_rejection,1,2.017197902889263,True,-1.4834191477380574,5.517814953516583,archive_summaries,4.1494449550453805,1.669416612904627,-2.1322470521561177
0,semantic_forced,1,2.2429949328146375,True,0.5027741713238099,3.983215694305465,archive_summaries,4.1494449550453805,1.669416612904627,-1.906450022230743
0,ivw_meta,1,2.551168867291681,True,,,archive_summaries,4.1494449550453805,1.669416612904627,-1.5982760877536997
0,random_effects_meta,1,2.5351692097998466,True,,,archive_summaries,4.1494449550453805,1.669416612904627,-1.6142757452455339
0,full_nearest,1,2.1875235736189644,True,,,archive_summaries,4.1494449550453805,1.669416612904627,-1.961921381426416
0,ridge_meta_regression,1,1.8878312523839096,True,,,archive_summaries,4.1494449550453805,1.669416612904627,-2.261613702661471
0,rbf_kernel_ridge,1,1.9304697412461633,True,,,archive_summaries,4.1494449550453805,1.669416612904627,-2.218975213799217
0,unit_ridge_t_learner,1,1.9523375091227104,True,,,source_individuals,4.1494449550453805,1.669416612904627,-2.1971074459226703
0,atlas,2,0.6111934150744792,False,-3.2714137114805824,4.493800541629541,archive_summaries,2.826335906873625,1.3289310685625033,-2.2151424917991456
0,atlas_no_rejection,2,0.6111934150744792,True,-2.9002068168480273,4.122593646996986,archive_summaries,2.826335906873625,1.3289310685625033,-2.2151424917991456
0,semantic_forced,2,1.9883259787815235,True,0.15233808043307162,3.8243138771299754,archive_summaries,2.826335906873625,1.3289310685625033,-0.8380099280921014
0,ivw_meta,2,2.551168867291681,True,,,archive_summaries,2.826335906873625,1.3289310685625033,-0.2751670395819441
0,random_effects_meta,2,2.5351692097998466,True,,,archive_summaries,2.826335906873625,1.3289310685625033,-0.2911666970737783
0,full_nearest,2,2.71583724115498,True,,,archive_summaries,2.826335906873625,1.3289310685625033,-0.11049866571864486
0,ridge_meta_regression,2,0.12822781535617045,True,,,archive_summaries,2.826335906873625,1.3289310685625033,-2.6981080915174545
0,rbf_kernel_ridge,2,0.24255829537621265,True,,,archive_summaries,2.826335906873625,1.3289310685625033,-2.5837776114974123
0,unit_ridge_t_learner,2,0.5909517187301985,True,,,source_individuals,2.826335906873625,1.3289310685625033,-2.2353841881434264
0,atlas,3,3.233451981873217,True,0.5130152455454584,5.953888718200975,archive_summaries,0.6504626371637343,2.213298353087332,2.5829893447094827
0,atlas_no_rejection,3,3.233451981873217,True,0.6929244184087846,5.7739795453376495,archive_summaries,0.6504626371637343,2.213298353087332,2.5829893447094827
0,semantic_forced,3,2.826074780746021,True,1.2383315475656413,4.4138180139264005,archive_summaries,0.6504626371637343,2.213298353087332,2.1756121435822866
0,ivw_meta,3,2.551168867291681,True,,,archive_summaries,0.6504626371637343,2.213298353087332,1.9007062301279465
0,random_effects_meta,3,2.5351692097998466,True,,,archive_summaries,0.6504626371637343,2.213298353087332,1.8847065726361123
0,full_nearest,3,5.7226902426733774,True,,,archive_summaries,0.6504626371637343,2.213298353087332,5.072227605509643
0,ridge_meta_regression,3,3.5042073756664793,True,,,archive_summaries,0.6504626371637343,2.213298353087332,2.853744738502745
0,rbf_kernel_ridge,3,3.5782835918019007,True,,,archive_summaries,0.6504626371637343,2.213298353087332,2.9278209546381664
0,unit_ridge_t_learner,3,2.9068120156770734,True,,,source_individuals,0.6504626371637343,2.213298353087332,2.256349378513339
0,atlas,4,2.071902019737136,False,-4.243632855460865,8.387436894935137,archive_summaries,3.2817593193054204,1.9373261914880142,-1.2098572995682844
0,atlas_no_rejection,4,2.071902019737136,True,-3.6745700770786414,7.8183741165529135,archive_summaries,3.2817593193054204,1.9373261914880142,-1.2098572995682844
0,semantic_forced,4,2.008325199537092,True,0.21213911356986803,3.804511285504316,archive_summaries,3.2817593193054204,1.9373261914880142,-1.2734341197683285
0,ivw_meta,4,2.551168867291681,True,,,archive_summaries,3.2817593193054204,1.9373261914880142,-0.7305904520137396
0,random_effects_meta,4,2.5351692097998466,True,,,archive_summaries,3.2817593193054204,1.9373261914880142,-0.7465901095055738
0,full_nearest,4,2.71583724115498,True,,,archive_summaries,3.2817593193054204,1.9373261914880142,-0.5659220781504404
0,ridge_meta_regression,4,2.3264918925540052,True,,,archive_summaries,3.2817593193054204,1.9373261914880142,-0.9552674267514152
0,rbf_kernel_ridge,4,2.0426389116696932,True,,,archive_summaries,3.2817593193054204,1.9373261914880142,-1.2391204076357272
0,unit_ridge_t_learner,4,1.387668289143541,True,,,source_individuals,3.2817593193054204,1.9373261914880142,-1.8940910301618794
0,atlas,5,1.9941726919944402,False,-6.453413237330108,10.44175862131899,archive_summaries,2.6308647546919572,1.3099226371508643,-0.636692062697517
0,atlas_no_rejection,5,1.9941726919944402,True,-5.621579403977605,9.609924787966484,archive_summaries,2.6308647546919572,1.3099226371508643,-0.636692062697517
0,semantic_forced,5,1.753955785795471,True,-0.21943346149436405,3.727345033085306,archive_summaries,2.6308647546919572,1.3099226371508643,-0.8769089688964862
0,ivw_meta,5,2.551168867291681,True,,,archive_summaries,2.6308647546919572,1.3099226371508643,-0.07969588740027644
0,random_effects_meta,5,2.5351692097998466,True,,,archive_summaries,2.6308647546919572,1.3099226371508643,-0.09569554489211063
0,full_nearest,5,1.9832276620864855,True,,,archive_summaries,2.6308647546919572,1.3099226371508643,-0.6476370926054718
0,ridge_meta_regression,5,0.7745691038356712,True,,,archive_summaries,2.6308647546919572,1.3099226371508643,-1.856295650856286
0,rbf_kernel_ridge,5,0.36669484661570984,True,,,archive_summaries,2.6308647546919572,1.3099226371508643,-2.2641699080762474
0,unit_ridge_t_learner,5,0.7873297362587031,True,,,source_individuals,2.6308647546919572,1.3099226371508643,-1.8435350184332542
1,atlas,0,4.206308724527266,False,-3.22300350649165,11.63562095554618,archive_summaries,3.4771497012183783,1.384882496603419,0.7291590233088874
1,atlas_no_rejection,0,4.206308724527266,True,-2.656144088621563,11.068761537676094,archive_summaries,3.4771497012183783,1.384882496603419,0.7291590233088874
1,semantic_forced,0,3.0516085105204707,True,0.9139249421899498,5.1892920788509915,archive_summaries,3.4771497012183783,1.384882496603419,-0.42554119069790763
1,ivw_meta,0,2.335514898885249,True,,,archive_summaries,3.4771497012183783,1.384882496603419,-1.141634802333129
1,random_effects_meta,0,2.627739471007445,True,,,archive_summaries,3.4771497012183783,1.384882496603419,-0.8494102302109332
1,full_nearest,0,3.0451903478721043,True,,,archive_summaries,3.4771497012183783,1.384882496603419,-0.431959353346274
1,ridge_meta_regression,0,2.1093056550425193,True,,,archive_summaries,3.4771497012183783,1.384882496603419,-1.367844046175859
1,rbf_kernel_ridge,0,2.7772458707161163,True,,,archive_summaries,3.4771497012183783,1.384882496603419,-0.699903830502262
1,unit_ridge_t_learner,0,0.9438406657996079,True,,,source_individuals,3.4771497012183783,1.384882496603419,-2.53330903541877
1,atlas,1,2.0366052234140155,False,-1.6348044869400868,5.708014933768117,archive_summaries,4.737954610188803,1.2875690833813795,-2.7013493867747873
1,atlas_no_rejection,1,2.0366052234140155,True,-1.4248691748044666,5.498079621632497,archive_summaries,4.737954610188803,1.2875690833813795,-2.7013493867747873
1,semantic_forced,1,3.0379548579584745,True,0.47984235018168286,5.596067365735266,archive_summaries,4.737954610188803,1.2875690833813795,-1.6999997522303283
1,ivw_meta,1,2.335514898885249,True,,,archive_summaries,4.737954610188803,1.2875690833813795,-2.4024397113035536
