scenario,replicate,family,budget,reference_draws,planning_draws,valid,reason,gamma,monotone,monotonicity_violations,epsilon,optimum,selected_value,lower_bound,bound_holds,vacuous
moderate,7,operational,3,2048,128,True,assumption_failed,-0.7870285392664506,False,40,0.010635180776489062,1.7536797708238643,1.7536797708238643,,,
moderate,7,retained_certificates,1,2048,128,True,eligible,0.9999999999999841,True,0,0.011279364204118458,1.1958806718083008,1.1958806718083008,0.7333820301474899,True,False
moderate,7,retained_certificates,2,2048,128,True,eligible,0.9999999999999841,True,0,0.011279364204118458,1.6368356540280034,1.6368356540280034,0.9895600115182053,True,False
moderate,7,retained_certificates,3,2048,128,True,eligible,0.9999999999999841,True,0,0.011279364204118458,1.6368356540280034,1.6368356540280034,0.9670012831099679,True,False
moderate,8,operational,1,2048,128,True,assumption_failed,-32.03193862055047,False,35,0.012303179847078738,1.2112299054713818,1.2112299054713818,,,
moderate,8,operational,2,2048,128,True,assumption_failed,-32.03193862055047,False,35,0.012303179847078738,1.670458748004267,1.670458748004267,,,
moderate,8,operational,3,2048,128,True,assumption_failed,-32.03193862055047,False,35,0.012303179847078738,1.6718641738849072,1.6718641738849072,,,
moderate,8,retained_certificates,1,2048,128,True,eligible,1.0,True,0,0.026961730756665858,1.183093298430323,1.183093298430323,0.6939341354367656,True,False
moderate,8,retained_certificates,2,2048,128,True,eligible,1.0,True,0,0.026961730756665858,1.6516929394843585,1.6516929394843585,0.9362221408933724,True,False
moderate,8,retained_certificates,3,2048,128,True,eligible,1.0,True,0,0.026961730756665858,1.6516929394843585,1.6516929394843585,0.8822986793800407,True,False
moderate,9,operational,1,2048,128,True,assumption_failed,-33.45586439275845,False,60,0.0040974149037245056,0.46413897578844265,0.46413897578844265,,,
moderate,9,operational,2,2048,128,True,assumption_failed,-33.45586439275845,False,60,0.0040974149037245056,0.7011013438010179,0.7011013438010179,,,
moderate,9,operational,3,2048,128,True,assumption_failed,-33.45586439275845,False,60,0.0040974149037245056,0.7011311133975551,0.7011311133975551,,,
moderate,9,retained_certificates,1,2048,128,True,eligible,1.0,True,0,0.0033482689575832225,0.4439108609730402,0.4439108609730402,0.2739086435931779,True,False
moderate,9,retained_certificates,2,2048,128,True,eligible,1.0,True,0,0.0033482689575832225,0.6834647286846014,0.6834647286846014,0.4186390304053859,True,False
moderate,9,retained_certificates,3,2048,128,True,eligible,1.0,True,0,0.0033482689575832225,0.6834647286846014,0.6834647286846014,0.41194249249021947,True,False
moderate,10,operational,1,2048,128,True,assumption_failed,-2.7933754216435402,False,20,0.021434397880056633,0.5696947387496092,0.5696947387496092,,,
moderate,10,operational,2,2048,128,True,assumption_failed,-2.7933754216435402,False,20,0.021434397880056633,0.8719995425055798,0.8719995425055798,,,
moderate,10,operational,3,2048,128,True,assumption_failed,-2.7933754216435402,False,20,0.021434397880056633,0.8767991565388042,0.8767991565388042,,,
moderate,10,retained_certificates,1,2048,128,True,eligible,1.0,True,0,0.018666734434483523,0.4714869009393823,0.4714869009393823,0.26070309443318007,True,False
moderate,10,retained_certificates,2,2048,128,True,eligible,1.0,True,0,0.018666734434483523,0.847666312539606,0.847666312539606,0.4611603654447445,True,False
moderate,10,retained_certificates,3,2048,128,True,eligible,1.0,True,0,0.018666734434483523,0.847666312539606,0.847666312539606,0.42382689657577743,True,False
moderate,11,operational,1,2048,128,True,assumption_failed,-0.6406460924159257,False,34,0.014113243212018567,1.1684930453507736,1.1684930453507736,,,
