surface,release,release_mcse,mae,mae_mcse,coverage,coverage_mcse,width,width_mcse
constant,0.915,0.017647089082520655,0.5006920966472155,0.024729936978904,0.9981785063752276,0.0018201226864695997,4.248131070583606,0.02957999722420186
interaction,0.9366666666666668,0.013768162170830555,0.49251447098353357,0.022242988500855303,0.998220640569395,0.0017783360854483018,4.285575348365473,0.029345386730230273
smooth,0.9466666666666668,0.011331154474650633,0.48631891247878917,0.023841274618464157,0.9947183098591549,0.0030193072558914067,4.372693863175178,0.030124577435094328
