seed_batch,replicate,split_seed,target_object_id,pc1,pc2,heldout_local_contrast,reconstructed_contrast,absolute_reconstruction_error,accepted,certificate_radius,support_component,statistical_component,interval_width
0,0,1260926274,local_001,1.0555685058516724,5.821691499600044,1.725786379496256,1.4411129826886655,0.2846733968075905,False,3.4947510338838215,0.7528943505315646,2.741856683352257,6.989502067767643
0,0,1260926274,local_004,0.7123925093361396,-0.7929560795628144,3.22451144482467,3.812061452006885,0.5875500071822151,True,2.6032812472100937,0.43672493382794997,2.1665563133821437,5.2065624944201865
0,0,1260926274,local_005,-0.7524079162088602,-0.38968192252498,0.7343614374671263,0.5874141580516518,0.14694727941547459,True,2.6417997853922044,0.9475356529489846,1.6942641324432197,5.283599570784409
0,0,1260926274,local_010,-1.448002228692716,-0.0840485524073864,0.4895771132022282,0.7991974399564405,0.30962032675421236,True,2.0017958673852565,0.5441486313304028,1.4576472360548538,4.003591734770513
0,0,1260926274,local_015,3.895434214215513,-0.6593435483587626,2.732424938964845,2.764077337732855,0.03165239876800996,False,3.3196344037123957,1.4318047008244381,1.8878297028879574,6.639268807424791
0,0,1260926274,local_019,2.9364700958382253,0.6624286491104329,-0.01264156401752281,0.6547800694673138,0.6674216334848366,False,3.3230750529889828,1.450246820607223,1.8728282323817598,6.6461501059779655
0,0,1260926274,local_026,-0.18051877989420922,-0.2841225698274764,3.3589079998016356,2.83515147667568,0.5237565231259556,True,3.0021473608004667,1.061442107554253,1.9407052532462135,6.0042947216009335
0,0,1260926274,local_027,1.9615630284503007,-1.3563548592985808,6.076206580528844,5.612192439210083,0.46401414131876084,True,2.770823332355307,0.6169924881400244,2.1538308442152823,5.541646664710614
0,0,1260926274,local_034,0.6417728838529045,-1.7044975811549088,5.389327648608717,4.979692468165202,0.409635180443515,False,3.8257826582925705,0.7267354195909079,3.0990472387016625,7.65156531658514
0,0,1260926274,local_035,0.30157384123670355,-0.49554903991391147,3.174158549672741,2.7965593393649186,0.3775992103078223,True,2.646154291850996,0.8191657104665038,1.826988581384492,5.292308583701992
0,0,1260926274,local_038,-0.28971736716460933,5.781242873063978,0.999887837146578,1.3953477918458042,0.3954599546992261,True,3.273471846103936,0.6877793433616507,2.5856925027422855,6.546943692207872
0,0,1260926274,local_040,-2.303494734445533,-0.05511785118429728,1.2805820576985676,0.5018301599714613,0.7787518977271063,True,2.376569614278876,0.8021690901162899,1.5744005241625862,4.753139228557752
0,0,1260926274,local_048,0.9064989405371513,-0.5536564331283553,1.4627749467232762,2.4736020480157834,1.0108271012925072,True,2.794637671413946,0.8086612602990016,1.9859764111149445,5.589275342827892
0,0,1260926274,local_054,1.1428365987285232,-1.4209607812896992,6.346695914633365,6.089095572939426,0.257600341693939,True,3.2825467497076763,0.586131249088383,2.696415500619293,6.565093499415352
0,0,1260926274,local_058,1.540468881622365,-0.4587381707549099,2.037608550976484,3.091128997674926,1.053520446698442,True,3.13664981945211,0.6142225572723863,2.5224272621797237,6.27329963890422
0,0,1260926274,local_060,1.9363029983659203,-1.2233517315013342,6.356271346400899,4.878270108913642,1.4780012374872564,True,2.5631637823867077,0.7386546667425848,1.824509115644123,5.1263275647734154
0,0,1260926274,local_061,-0.8773584744031749,0.9457095134242471,0.5634527334314603,1.428991165351773,0.8655384319203128,True,2.55007330218117,0.7871181897130661,1.762955112468104,5.10014660436234
0,0,1260926274,local_064,0.9897807201449788,-0.17096028795406223,1.0780569239524018,-1.232391703323902,2.310448627276304,True,2.2964188897077964,0.5464098845364065,1.7500090051713901,4.592837779415593
0,0,1260926274,local_068,-1.7575747015191168,-0.20039173493656942,1.153900891534212,0.7688449883852873,0.3850559031489247,True,1.655524358768555,0.40160678233566255,1.2539175764328925,3.31104871753711
0,0,1260926274,local_069,0.20342179077095635,-0.4679378688420322,1.1223452203876905,0.05865214247814188,1.0636930779095486,True,2.9122390595806738,0.7064460319208394,2.2057930276598343,5.8244781191613475
0,0,1260926274,local_070,-2.8945109126893396,-0.016464980429442246,2.1991294680640814,0.6492806571273788,1.5498488109367026,True,2.5172539681794532,0.7406704114579297,1.7765835567215238,5.0345079363589065
0,0,1260926274,local_091,0.5468080006823893,-0.6441214219069032,2.9606815474444153,3.065355524244856,0.10467397680044055,True,2.819974242277109,0.7307338312987436,2.0892404109783653,5.639948484554218
0,0,1260926274,local_095,0.5518387651792833,-0.197765499937733,-0.6319926675649787,-0.7597979850250842,0.12780531746010548,True,2.146803833317369,0.4559674415669111,1.6908363917504579,4.293607666634738
0,0,1260926274,local_096,-0.969563804472342,0.9185705315751015,3.861732006597601,1.9114638552284033,1.9502681513691977,True,2.111716489276185,0.4073234866662146,1.7043930026099703,4.22343297855237
0,0,1260926274,local_097,2.0222156176579307,-0.2873212748900855,-0.5363148702646239,-2.2136785719195515,1.6773637016549277,False,4.065318139642457,0.6647151628375227,3.400602976804935,8.130636279284914
0,0,1260926274,local_103,0.1651033041200809,-0.3750748868098575,2.151451302490235,1.9955295695385917,0.15592173295164313,True,2.4754751033644933,0.33440940730827456,2.1410656960562187,4.950950206728987
0,0,1260926274,local_108,0.9604770654395144,-1.5469973742509093,6.578980262744062,6.0529456636444126,0.5260345990996491,False,3.561823771938446,0.43367157511112114,3.1281521968273247,7.123647543876891
0,0,1260926274,local_111,0.391438721884527,-0.5187723499295654,3.890250156784058,2.5722581794310586,1.3179919773529996,True,3.100717376848885,0.626347988609836,2.474369388239049,6.20143475369777
0,1,4160066401,local_011,1.4097025193829202,-1.0037363140595954,3.1613948953701905,5.430984212902927,2.2695893175327364,True,2.9495966355435037,0.7021102075243475,2.247486428019156,5.899193271087008
0,1,4160066401,local_012,0.1925404293443072,-0.7261814797309618,1.4269447016473267,2.8158758878767056,1.388931186229379,True,3.0530895638656683,0.6906842363009349,2.3624053275647334,6.1061791277313375
0,1,4160066401,local_015,3.895434214215513,-0.6593435483587626,2.732424938964845,2.8288054050574862,0.09638046609264128,True,3.1916326483655375,1.414013127807617,1.7776195205579206,6.383265296731075
0,1,4160066401,local_022,2.5289767772317915,-0.3525405293673251,2.3066353384254437,2.341155891384462,0.034520552959018236,True,2.9416007720498625,0.7172973199671827,2.2243034520826797,5.883201544099725
0,1,4160066401,local_028,2.366668426751495,-0.1276485658129692,1.6739008553116417,4.201595041033514,2.527694185721872,True,3.21500020013852,1.109213862835946,2.1057863373025736,6.43000040027704
0,1,4160066401,local_032,-0.6500650411809074,-0.27715409744620856,0.6554998568021326,0.12219704864926967,0.533302808152863,True,1.984408391368715,0.5613828223678107,1.4230255690009042,3.96881678273743
