scenario_key,scenario_label,repetitions,seed_batches,hull_distance,archive_standard_error,archive_count,information,estimator_standard_error,geometric_scale,geometric_lower_bound,information_scale,statistical_lower_bound,combined_lower_bound,empirical_geometric_worst_mae,analytic_geometric_worst_mae,empirical_statistical_worst_mae,analytic_statistical_worst_mae,empirical_worst_case_mae,analytic_worst_case_mae,empirical_to_lower_bound_ratio,between_seed_worst_case_mae_sd
d000_precise,d_star = 0.00; precise archive (s = 0.35),300,3,0.0,0.35,8,65.30612244897961,0.12374368670764581,0.0,0.0,0.12374368670764581,0.011600970628841795,0.011600970628841795,0.09588366378179204,0.09873317712085734,0.09889019400247054,0.09873317712085734,0.09889019400247054,0.09873317712085734,8.524303454110497,0.003658534073070978
d000_noisy,d_star = 0.00; noisy archive (s = 1.20),300,3,0.0,1.2,8,5.555555555555555,0.4242640687119285,0.0,0.0,0.4242640687119285,0.039774756441743296,0.039774756441743296,0.32874399010900135,0.3385137501286538,0.3390520937227561,0.3385137501286538,0.3390520937227561,0.3385137501286538,8.524303454110497,0.01254354539338621
d025_precise,d_star = 0.25; precise archive (s = 0.35),300,3,0.25,0.35,8,65.30612244897961,0.12374368670764581,0.6525,0.163125,0.12374368670764581,0.011600970628841795,0.163125,0.17387622722628093,0.173962411056572,0.09889019400247054,0.09873317712085734,0.17387622722628093,0.173962411056572,1.0659079063680057,0.005032550593598646
d025_noisy,d_star = 0.25; noisy archive (s = 1.20),300,3,0.25,1.2,8,5.555555555555555,0.4242640687119285,0.6525,0.163125,0.4242640687119285,0.039774756441743296,0.163125,0.36471437942177737,0.36323158587790155,0.3390520937227561,0.3385137501286538,0.36471437942177737,0.36323158587790155,2.2357969619725817,0.01147950953772193
d060_precise,d_star = 0.60; precise archive (s = 0.35),300,3,0.6,0.35,8,65.30612244897961,0.12374368670764581,1.5659999999999998,0.39149999999999996,0.12374368670764581,0.011600970628841795,0.39149999999999996,0.39180818979897325,0.39155240469787106,0.09889019400247054,0.09873317712085734,0.39180818979897325,0.39155240469787106,1.000787202551656,0.0047312347798422975
d060_noisy,d_star = 0.60; noisy archive (s = 1.20),300,3,0.6,1.2,8,5.555555555555555,0.4242640687119285,1.5659999999999998,0.39149999999999996,0.4242640687119285,0.039774756441743296,0.39149999999999996,0.4766532663937435,0.4732198958174536,0.3390520937227561,0.3385137501286538,0.4766532663937435,0.4732198958174536,1.217505150431018,0.019305572157262665
d100_precise,d_star = 1.00; precise archive (s = 0.35),300,3,1.0,0.35,8,65.30612244897961,0.12374368670764581,2.61,0.6525,0.12374368670764581,0.011600970628841795,0.6525,0.6528081897989734,0.6525000029556696,0.09889019400247054,0.09873317712085734,0.6528081897989734,0.6525000029556696,1.0004723215309936,0.004731234779842312
d100_noisy,d_star = 1.00; noisy archive (s = 1.20),300,3,1.0,1.2,8,5.555555555555555,0.4242640687119285,2.61,0.6525,0.4242640687119285,0.039774756441743296,0.6525,0.6740664673853505,0.675293604879204,0.3390520937227561,0.3385137501286538,0.6740664673853505,0.675293604879204,1.0330520572955564,0.015966897809997282
