seed_batch,replicate,seed,target_s1,target_s2,target_hidden_moderator,target_q,nearest_semantic_s1,nearest_semantic_s2,nearest_semantic_hidden_moderator,nearest_semantic_q,atlas_accepted,scientific_tolerance,certificate_radius,representation_term,curvature_term,hidden_moderator_term,bias_term,statistical_term,interval_covered,atlas_absolute_error,atlas_no_rejection_absolute_error,semantic_forced_absolute_error,nearest_semantic_absolute_error,global_mean_absolute_error,oracle_latent_support_absolute_error
0,0,4229584147,0.13194668663673914,0.2539848625639492,0.21774489953174384,-0.14262337999426425,0.3045802963699893,0.43205904871991363,0.43194389555667057,-0.9637854972720186,True,1.65,1.5448783617643516,0.010881023863087235,0.800085221533421,0.6200000000000001,0.0,0.11391211636784337,True,0.3571633585554502,0.3571633585554502,0.14701083739539333,0.2959125349465985,0.229369304592405,0.1339719313473301
0,1,787594642,0.214753624759653,0.3268336055965779,0.05904111336863706,-0.15971117693189746,0.15500348671804454,0.38281879032245514,0.4728192925392518,0.8715895339433024,False,1.65,1.8036508269534581,0.004549453269453007,1.0651145413956358,0.6200000000000001,0.0,0.1139868322883693,True,0.12916977277989683,0.12916977277989683,0.3063207602262412,0.022607989423941044,0.5610932358598262,0.2584647532474478
0,2,1958262972,0.5522115053689746,0.45189223421036573,-0.5301289090076379,0.6107196015035949,0.7734235931955784,0.7053512566919236,-0.9785551749233259,0.9505199890396654,False,1.65,1.7417396646899674,0.00875957167544434,0.9419835391825095,0.6200000000000001,0.0,0.1709965538320133,True,0.30196163788099534,0.30196163788099534,0.273490868289426,0.6297485971888108,0.3143846282404669,0.253951158565239
0,3,1248506894,0.26054938868628763,-0.01114661935062642,0.02305666515052028,0.24699445637688183,0.38026678615710674,0.3992657048665018,-0.5654657020930636,0.5228112649326868,False,1.65,2.089921710956768,0.0056753198834679185,1.3401806661620028,0.6200000000000001,0.0,0.12406572491129723,True,0.2502459493053387,0.2502459493053387,0.5721940586726337,0.5596540270027625,0.6994204823547419,0.29713040874873653
0,4,2980553369,-0.20904373600508996,-0.1342903682131659,0.5367032119699497,-0.3142052428645706,-0.13363698529511425,-0.5161366957876778,-0.7991320979735299,-0.6764568140433633,False,1.65,1.7824678186306695,0.003444439710361113,1.0505078701039456,0.6200000000000001,0.0,0.10851550881636271,True,0.018430120394986316,0.018430120394986316,0.16154986109040295,1.7512615734162424,0.06960130924366265,0.01151601800775498
0,5,3957589359,0.04559993208227264,-0.6121816817887287,0.05122657861591837,-0.4293680810746284,-0.09398592648315529,-0.5807658085965475,-0.20471009038207932,-0.7111127232357692,False,1.65,1.8837410189082084,0.0053772795751196815,1.137998435251636,0.6200000000000001,0.0,0.12036530408145267,True,0.17260907816898935,0.17260907816898935,0.23171164461855626,0.7139832290320749,0.24772072575968657,0.27474597186661004
0,6,2206514770,0.10325067291461347,-0.18921793167889744,-0.0825295652295445,0.20507038084409918,0.21055857152842794,-0.027608642663750294,0.7570548107112576,0.1589041712593373,False,1.65,1.8497844248389357,0.003287050692939419,1.1201876371084325,0.6200000000000001,0.0,0.10630973703756375,True,0.05983328345590322,0.05983328345590322,0.4537454975412736,1.1736296166453952,0.3048895712889393,0.13783934552229582
0,7,3430997634,0.06271823149088934,-0.1593173571575175,0.4412570153220765,-0.3663650522347832,0.4321008736842289,-0.07845785612360046,0.5012102680824166,-0.7453434383857251,True,1.65,1.6298468342316395,0.006251898880860106,0.8882144601355001,0.6200000000000001,0.0,0.11538047521527922,True,0.28373053887280264,0.28373053887280264,0.3533614211824956,0.22554332252344578,0.49632263897445883,0.26376671514699745
0,8,1661273808,0.09426960223167441,0.2608902285679461,0.2542042787835683,-0.25798115901326546,0.08999764321776671,0.03981563431355539,0.22697256846175806,0.8373710362801712,False,1.65,1.9860307403436335,0.0036663010907825797,1.2457258420947284,0.6200000000000001,0.0,0.11663859715812246,True,0.1250952694734372,0.1250952694734372,0.564856250287181,0.3581663618156132,0.7717184789753916,0.130037161164816
0,9,3021915608,-0.18547731700710354,0.10303829945819094,0.02428752114165765,0.17426536433237627,0.02446015697233017,-0.25033279971636824,-0.4659406367569596,0.21332540306828518,True,1.65,1.6258706903096694,0.00531583717570653,0.8916164082567183,0.6200000000000001,0.0,0.10893844487724447,True,0.20546730370869512,0.20546730370869512,0.19368481324782258,0.5794755916511704,0.04915397301870301,0.1647766447435261
0,10,255881466,0.10395733531002661,0.07604723376571249,0.28282582180968485,-0.0749617107067724,-0.4756252752236836,0.10250053575599094,0.18737272530999305,-0.6298770206167039,False,1.65,1.7845540269491322,0.012298491105219439,1.0290202883519235,0.6200000000000001,0.0,0.12323524749198907,True,0.17443851453810533,0.17443851453810533,0.47373819265532635,0.8346975455448591,0.4575102453010956,0.19654750523776576
0,11,1416983642,0.03180910086949067,-0.3948354055146632,-0.3336748789527556,0.301948048414896,0.1326691001118765,-0.45709424737651716,-0.4256177697695478,0.045700664624210185,True,1.65,1.2975039630135763,0.04075979617097206,0.501217416650961,0.6200000000000001,0.0,0.13552675019164312,True,0.08330261065813371,0.08330261065813371,0.1265106397204684,0.028976572438015935,0.24009134678681263,0.045351483789550784
0,12,3675305467,-0.07525154854220126,0.19046372481154553,-0.044153331695521186,0.0021186824400995508,-0.44739798606900316,0.344543291620542,-0.3675061167739073,-0.2642097752265693,False,1.65,2.0696826613897685,0.001817175716280621,1.3474453407234384,0.6200000000000001,0.0,0.1004201449500494,True,0.07560000075826465,0.07560000075826465,0.5942126410435026,0.6422538650498741,0.4360570751430706,0.18038520789475265
0,13,3614164098,-0.24913272902162253,-0.09510928950023859,-0.17059632668725816,0.043771308876378145,-0.4504106570910118,-0.10442848487543221,-0.034354020110511474,-0.7659446249845365,False,1.65,1.6770078552865302,0.014456361757674214,0.9191646377804201,0.6200000000000001,0.0,0.12338685574843572,True,0.01356800957541393,0.01356800957541393,0.23536011653337363,0.38221441529464206,0.1512603079582424,0.050536478615457125
0,14,1615387791,-0.014041403479441508,0.31282043812397825,-0.21675213758639872,0.33655040861922586,-0.12317390211527157,0.4243741193935666,-0.5651008299258127,0.7577575532177756,False,1.65,2.0798900133113807,0.010914346425778055,1.3318108572322962,0.6200000000000001,0.0,0.11716480965330628,True,0.2382857957241983,0.2382857957241983,0.19725807277177937,0.7811879288190562,0.087852327526814,0.16117438357226754
0,15,1403746905,0.07641258570873208,-0.11726551520620705,-0.06571134993004904,-0.21454857981473202,-0.21095356854168879,-0.025115112246263616,-0.11990679591823872,0.17727210200103904,False,1.65,1.6630818031597836,0.00522329600836755,0.9279810957383193,0.6200000000000001,0.0,0.10987741141309644,True,0.006749307959565298,0.006749307959565298,0.05624381916286755,0.2412593410088989,0.2596374431145355,0.09884479718563328
0,16,4255586567,-0.27091136110510655,0.43667718361145574,-0.4255804943523138,0.45766115791293277,-0.1146049838574803,0.1606993400102068,0.0010144740556130571,0.012425447040831594,True,1.65,1.4034977437013856,0.012968602112598367,0.6385427006439637,0.6200000000000001,0.0,0.13198644094482337,True,0.035328046378430455,0.035328046378430455,0.2839860976695804,0.5669679516748019,0.3367939256871549,0.021471678725819843
0,17,597572260,-0.3692183409271668,0.03599895179778051,0.11276966471999968,-0.28308700711307555,-0.10606026914450162,0.25552778987247615,-0.5464947289133824,-0.24743991966057632,False,1.65,1.9871162145936545,0.0029928280742775814,1.263045315721182,0.6200000000000001,0.0,0.10107807079819496,True,0.08137598287263426,0.08137598287263426,0.08758179859945059,0.20891943864628532,0.014011282565971311,0.06547902119244112
0,18,1826275022,-0.002673423295465889,-0.20023586779311725,0.25460335841497045,0.11249503539202611,-0.42353105401014157,-0.4298247420182655,-0.7011904070694217,0.36482438104788817,False,1.65,2.025395385719457,0.0025286567102910692,1.3010740229529245,0.6200000000000001,0.0,0.10179270605624106,True,0.3209155069777161,0.3209155069777161,0.6170058265429541,1.4347279525942969,0.42439399001449984,0.23655112895947777
0,19,605219138,0.2900227173336206,-0.11086573503055652,0.06686958430988213,-0.2243168808721272,0.7358144433941047,0.06088669369575306,0.26259712950475,0.09305832469907815,False,1.65,1.805458291711648,0.005418826085722088,1.0673208540509478,0.6200000000000001,0.0,0.11271861157497783,True,0.18645108276583755,0.18645108276583755,0.11540970159653674,0.8544573400156671,0.07490153618144113,0.24523171175143266
0,20,1585010905,-0.14345194666829125,-0.09503709250280196,0.4610542439681305,0.34780475035359504,-0.15342017542145392,0.32670942019692717,0.139620462736898,0.15825076703008412,False,1.65,1.7916844385522912,0.002675010582222004,1.0691318305191324,0.62,0.0,0.09987759745093674,True,0.09667236437453092,0.09667236437453092,0.37314826300958504,0.11455024139029579,0.2669394057410035,0.058649424840555464
0,21,437884935,-0.24228056927080027,0.07835064835396606,-0.5105750187131473,-0.18599685879674094,-0.4082451242919578,0.18590716695295328,-0.6468736014574461,-0.22594845814689957,True,1.65,1.4745699516066115,0.010819001146252559,0.7246972709788757,0.6200000000000001,0.0,0.11905367948148325,True,0.04364237261308357,0.04364237261308357,0.30550534524048134,0.15020154022020893,0.3857080040941785,0.02284829171152092
0,22,3539297457,-0.08528470170271421,-0.30725071471421755,0.44890165922269165,-0.011468727989934223,0.2320861515499688,-0.39136178858330073,0.4247179966040462,0.34039036680034407,True,1.65,1.5940742423771395,0.006389023625837115,0.844658524679883,0.6200000000000001,0.0,0.12302669407141914,True,0.06422935201511376,0.06422935201511376,0.1067529121043706,0.3509980395755496,0.08706942938066209,0.07330713544486095
0,23,724448689,-0.41720655479055746,-0.04965515411827882,-0.09258588884226558,-0.16753353806514182,-0.48279625446730945,-0.15780274604392397,-0.780004681932754,-0.7637581777058231,False,1.65,1.8248523621052897,0.0029619063662049334,1.09378435971011,0.6200000000000001,0.0,0.10810609602897453,True,0.07049630906121651,0.07049630906121651,0.24833351298867334,0.8873620287709887,0.2015534822187734,0.0032371283661352668
0,24,54442982,-0.4879229593869226,0.2421893606921319,-0.2628660100750405,-0.1574133279187458,-0.6163100082556552,0.4885798258134315,-0.7690640773105155,-0.5760992297950422,False,1.65,1.8111408931185446,0.0019743018174710985,1.0881130231899518,0.6200000000000001,0.0,0.10105356811112157,True,0.15584783581580508,0.15584783581580508,0.23259126922779472,0.63275137700085,0.09779684024130841,0.17183555211633095
0,25,2180979153,0.21118365421404747,-0.05610384665224595,0.3248486776069529,0.341901390707919,0.3778454457805247,-0.06764038383927495,-0.02310822352967512,-0.1752555085592351,False,1.65,1.9846016950874503,0.0024917567973606627,1.260693544301968,0.6200000000000001,0.0,0.10141639398812165,True,0.11382020780196345,0.11382020780196345,0.045865784857983316,0.05956718637242331,0.013716002598660793,0.19595884023403032
0,26,1933306573,-0.08742334735688184,-0.2179073253237717,0.023418399476361984,-0.3314524950997176,0.12350219349526737,-0.35086126160232434,-0.7445084920996206,-0.8365645839987585,True,1.65,1.6284781439681837,0.004406536699910906,0.8958781747183053,0.6200000000000001,0.0,0.1081934325499674,True,0.22148150577726475,0.22148150577726475,0.3851577586626427,1.0552031567537494,0.14651297917182834,0.21375451676965126
0,27,3894915906,-0.2354923212353686,0.0489977046802188,0.27267907470849023,0.018946589402043607,0.024784231248641708,0.02030593956259108,0.7538125919187768,-0.11523517034958952,False,1.65,1.6808328282335714,0.004416999953691171,0.9504599754784938,0.6200000000000001,0.0,0.10595585280138635,True,0.07602671548193246,0.07602671548193246,0.29600846645734225,0.8004458798972723,0.23072394092662707,0.010147392519295556
0,28,582032070,-0.13147924231562103,-0.3425215168456244,-0.05593110808068383,0.02620517823825796,-0.22958946635404853,-0.48122106306417,-0.28322941094500376,0.002316154865962705,False,1.65,1.9249808950482248,0.011558571419632886,1.1908257611524034,0.6200000000000001,0.0,0.10259656247618847,True,0.0949054574117284,0.0949054574117284,0.19284163497033024,0.6726099680834907,0.010357175647502492,0.13746914830742357
0,29,3236552667,-0.04348904894332778,0.33317493361606854,-0.019765944406208213,-0.020097080994225636,0.18766411887288692,0.09382502154735883,0.6568595227637719,-0.8070999632135352,False,1.65,1.8098575742915668,0.0023786495404895026,1.083383867032924,0.6200000000000001,0.0,0.10409505771815297,True,0.1428584293664289,0.1428584293664289,0.28472151845786053,0.5971714227787702,0.4977017398288162,0.21193954063925616
