scenario_key,scenario_label,estimator_key,repetitions,seed_batches,accepted_repetitions,acceptance_rate,acceptance_ci_lower,acceptance_ci_upper,rejection_rate,accepted_mae,accepted_mae_mc_se,accepted_rmse,accepted_bias,accepted_sign_accuracy,interval_coverage,mean_interval_width,mean_certificate_radius,between_seed_acceptance_sd,between_seed_mae_sd,seed_batch,base_seed
nominal,nominal setting,atlas,100,1,49,0.49,0.3942183009238615,0.5865215952256586,0.51,0.11548465234746483,0.012901726282186157,0.14603603287790504,-0.1019160544664556,0.9183673469387755,1.0,3.3009901938147435,1.682600454181105,,,0,20260811
nominal,nominal setting,atlas,100,1,48,0.48,0.38464384320080547,0.5768359490982345,0.52,0.10299112434642609,0.011343444224203143,0.12905362008451587,-0.09367847489948772,0.9166666666666666,1.0,3.347524618570265,1.7060343276444385,,,1,20260812
nominal,nominal setting,atlas,100,1,42,0.42,0.327982249185113,0.5179369200110473,0.58,0.11465394729339529,0.01162047394948446,0.13668203845858165,-0.09971528424609871,0.9523809523809523,1.0,3.3686814354649925,1.7162605582333148,,,2,20260813
nominal,nominal setting,atlas_no_rejection,100,1,100,1.0,0.9630051925239981,1.0,0.0,0.14076532422836588,0.010498268456975405,0.17528841069504486,-0.1319562143576247,0.89,1.0,3.3009901938147435,1.682600454181105,,,0,20260811
nominal,nominal setting,atlas_no_rejection,100,1,100,1.0,0.9630051925239981,1.0,0.0,0.12976296257555162,0.010068886896753549,0.1639368546331359,-0.11874329045981154,0.91,1.0,3.347524618570265,1.7060343276444385,,,1,20260812
nominal,nominal setting,atlas_no_rejection,100,1,100,1.0,0.9630051925239981,1.0,0.0,0.145569813432627,0.00909418645516458,0.1714009599846466,-0.13729908089832338,0.88,1.0,3.3686814354649925,1.7162605582333148,,,2,20260813
nominal,nominal setting,atlas_no_variance_penalty,100,1,45,0.45,0.3561437510640346,0.5475557296835656,0.55,0.1128408933218431,0.013854985383443314,0.14553121481177295,-0.09790228070435636,0.9111111111111111,1.0,3.301383489448372,1.683221151378025,,,0,20260811
nominal,nominal setting,atlas_no_variance_penalty,100,1,46,0.46,0.36560643853331865,0.5573531460647615,0.54,0.10626028384318857,0.01222387787563537,0.13422105455838573,-0.0964989975815253,0.9130434782608695,1.0,3.3544958832436533,1.7098350888742533,,,1,20260812
nominal,nominal setting,atlas_no_variance_penalty,100,1,41,0.41,0.31867157095664655,0.5079874943890338,0.59,0.11891816181543863,0.011549274102353613,0.13955987425193062,-0.10338397045374441,0.9512195121951219,1.0,3.3609937311719373,1.7127310773431939,,,2,20260813
nominal,nominal setting,atlas_top4_candidates,100,1,37,0.37,0.28182212569509163,0.46779652424866885,0.63,0.1324372521099462,0.016771569135136444,0.16633070934617356,-0.08125967619682548,0.918918918918919,1.0,3.5637119849246583,1.8293502970688156,,,0,20260811
nominal,nominal setting,atlas_top4_candidates,100,1,28,0.28,0.2013955916759837,0.37488212361345724,0.72,0.11426522559923782,0.0163644781971594,0.14243257261317707,-0.08283333850265966,0.8571428571428571,1.0,3.6318403639079593,1.8627725846876608,,,1,20260812
nominal,nominal setting,atlas_top4_candidates,100,1,31,0.31,0.22779563206132378,0.40626239477955695,0.69,0.12081163813383508,0.016348712525641972,0.15037906751261357,-0.061519990810964834,0.9354838709677419,1.0,3.6826381069234078,1.8880688800965786,,,2,20260813
nominal,nominal setting,semantic_forced,100,1,100,1.0,0.9630051925239981,1.0,0.0,0.24660807439939167,0.019635441821342654,0.31461889538835675,-0.1403781182622766,0.86,1.0,4.418857027201071,2.238200083156897,,,0,20260811
