object_id,pc1,pc2,atlas_holdout_evaluations,atlas_acceptance_rate
local_000,-2.6687217177088325,-0.3313820190843231,9,1.0
local_001,1.0555685058516724,5.821691499600044,19,0.05263157894736842
local_002,3.2497920769421724,0.29443475884283377,14,0.7857142857142857
local_003,4.373068855030794,0.20074650244502454,14,0.0
local_004,0.7123925093361396,-0.7929560795628144,18,1.0
local_005,-0.7524079162088602,-0.38968192252498,16,1.0
local_006,1.1371008353109753,-1.4199982071033685,19,0.5263157894736842
local_007,1.5608012769808957,-1.2002359527976414,19,0.8421052631578947
local_008,1.98668403966542,-0.20733989514796386,17,0.0
local_009,0.25583466746046163,1.0164698255997393,10,0.7
local_010,-1.448002228692716,-0.0840485524073864,15,1.0
local_011,1.4097025193829202,-1.0037363140595954,12,0.4166666666666667
local_012,0.1925404293443072,-0.7261814797309618,12,0.9166666666666666
local_013,-1.3801894575152416,1.000555173078204,15,1.0
local_014,-0.9007942378325358,0.523496526540537,15,1.0
local_015,3.895434214215513,-0.6593435483587626,18,0.3333333333333333
local_016,1.258105134599882,-0.4736043644783636,19,0.7368421052631579
local_017,0.8447455270304304,0.5804330004879303,18,0.9444444444444444
local_018,3.4457542071455705,-0.6060611208389725,12,0.0
local_019,2.9364700958382253,0.6624286491104329,20,0.05
local_020,-0.27214910314418356,-0.9297071772582916,16,0.5625
local_021,0.11286537437837839,-0.27053990729743377,15,0.5333333333333333
local_022,2.5289767772317915,-0.3525405293673251,15,0.8
local_023,-0.038250131935015926,-0.24061894351625362,22,1.0
local_024,-0.09116417831474274,-0.2917064245809222,14,1.0
local_025,-2.955827040953235,0.2416017270959956,16,0.0
local_026,-0.18051877989420922,-0.2841225698274764,23,0.9565217391304348
local_027,1.9615630284503007,-1.3563548592985808,13,0.9230769230769231
local_028,2.366668426751495,-0.1276485658129692,16,0.625
local_029,-2.3890129852474904,-0.29397447955787026,19,1.0
local_030,-1.6027807681826893,-0.7620646394364815,13,0.3076923076923077
local_031,0.18411157962703373,0.8377263345377207,19,1.0
local_032,-0.6500650411809074,-0.27715409744620856,18,1.0
local_033,-0.5424368719445116,0.8959084823244202,13,0.9230769230769231
local_034,0.6417728838529045,-1.7044975811549088,18,0.0
local_035,0.30157384123670355,-0.49554903991391147,15,1.0
local_036,-2.0421420476106977,-0.09492193313614562,11,1.0
local_037,-0.9078244340747956,0.8588819294739267,16,1.0
local_038,-0.28971736716460933,5.781242873063978,17,0.4117647058823529
local_039,1.6717249290903744,0.11215877951332728,15,0.0
local_040,-2.303494734445533,-0.05511785118429728,21,1.0
local_041,-1.798392900964244,-0.464521117443664,15,0.8
local_042,0.8715451765572353,-0.6345997284201466,13,1.0
local_043,1.210095849090365,-0.009559285629922776,19,0.2631578947368421
local_044,3.5146718675810993,0.058255648824165986,20,0.65
local_045,0.4121763198396254,-0.23221723741969644,11,1.0
local_046,-0.8271523445342699,-0.8291581260132956,15,0.06666666666666667
local_047,-2.268356790936038,-0.23723674738198064,20,1.0
local_048,0.9064989405371513,-0.5536564331283553,19,1.0
local_049,0.6287277097023648,-0.4641050633042861,12,0.75
local_050,1.760674782698319,5.476924146492508,15,0.0
local_051,-0.7587778380295319,-0.3365246425038785,20,1.0
local_052,-0.023531183145550187,5.998584528116516,18,0.0
local_053,-1.6417611874050637,-0.07566986350920644,11,1.0
local_054,1.1428365987285232,-1.4209607812896992,21,0.5714285714285714
local_055,1.6383809321440104,-1.0726060175695855,13,1.0
local_056,-3.694210086577135,0.5168510020409929,8,0.0
local_057,0.9339695618223558,-0.6146023292114023,14,1.0
local_058,1.540468881622365,-0.4587381707549099,16,0.875
local_059,-0.719554608619687,-0.19205772655531425,20,1.0
local_060,1.9363029983659203,-1.2233517315013342,13,0.9230769230769231
local_061,-0.8773584744031749,0.9457095134242471,13,1.0
local_062,-0.6145241317077517,-0.8010966474961415,14,0.8571428571428571
local_063,-2.6670541407552095,-0.12277580798098542,22,0.9090909090909091
local_064,0.9897807201449788,-0.17096028795406223,14,1.0
local_065,-1.6848416489281408,-0.4725726632186117,16,1.0
local_066,-1.984198281909879,-0.7270582512433014,11,1.0
local_067,0.7381781696141017,-1.539545791200865,11,0.36363636363636365
local_068,-1.7575747015191168,-0.20039173493656942,12,1.0
local_069,0.20342179077095635,-0.4679378688420322,19,0.8421052631578947
local_070,-2.8945109126893396,-0.016464980429442246,15,1.0
