method,target_evaluations,seed_batches,mae,median_absolute_error,sign_accuracy,interval_coverage,mean_interval_width,rejection_rate,mean_certificate_radius,between_seed_mae_sd,between_seed_rejection_sd
atlas,1680,3,0.8615027121670943,0.6988735835010091,0.8541666666666666,0.9744047619047619,5.630257421395832,0.23214285714285715,2.815128710697916,0.033679424217232266,0.0017857142857142932
atlas_no_rejection,1680,3,0.8615027121670943,0.6988735835010091,0.8541666666666666,0.9696428571428571,5.2749301318580395,0.0,2.6374650659290197,0.033679424217232266,0.0
semantic_forced,1680,3,1.1688064837255787,0.9367029546379324,0.7535714285714286,0.6047619047619047,2.854093349753275,0.0,1.4270466748766375,0.02683006569862155,0.0
nearest_semantic,1680,3,1.2422284322771318,1.0313392742584448,0.7803571428571429,0.9922619047619048,8.31082828055254,0.0,4.15541414027627,0.016498313690181433,0.0
global_mean,1680,3,1.6790354295767234,1.3490444676634485,0.7839285714285714,0.44583333333333336,2.474594786680932,0.0,1.2372973933404658,0.04189381441746288,0.0
