confidence_level,policy,release_rate,empirical_coverage,mean_width,conditional_coverage,conditional_width,conditional_mae
0.8,honest_atlas,0.4666666666666667,1.0,3.283457078509195,1.0,2.917581394583007,0.12945473884328526
0.8,wald_only,1.0,0.2,0.11107768782065759,0.2,0.11107768782065759,0.14884054872986863
0.8,semantic_forced,1.0,1.0,4.520189470685977,1.0,4.520189470685977,0.20322999726030447
0.8,understated_smoothness,1.0,1.0,1.4056511478410185,1.0,1.4056511478410185,0.14884054872986863
0.8,no_hidden_moderator_inflation,0.9966666666666667,1.0,2.0434570784230086,1.0,2.039418931519111,0.14892698498685106
0.9,honest_atlas,0.44333333333333336,1.0,3.314946059558822,1.0,2.9344152235821213,0.1322549071575614
0.9,wald_only,1.0,0.24,0.14256666887028457,0.24,0.14256666887028457,0.14884054872986863
0.9,semantic_forced,1.0,1.0,4.547615049469024,1.0,4.547615049469024,0.20322999726030447
0.9,understated_smoothness,1.0,1.0,1.4371401288906454,1.0,1.4371401288906454,0.14884054872986863
0.9,no_hidden_moderator_inflation,0.9966666666666667,1.0,2.074946059473584,1.0,2.0709197718036254,0.14892698498685106
0.95,honest_atlas,0.4033333333333333,1.0,3.3422580545423455,1.0,2.9337831246572925,0.1311082276102871
0.95,wald_only,1.0,0.2866666666666667,0.16987866385380768,0.2866666666666667,0.16987866385380768,0.14884054872986863
0.95,semantic_forced,1.0,1.0,4.571402648977635,1.0,4.571402648977635,0.20322999726030447
0.95,understated_smoothness,1.0,1.0,1.4644521238741686,1.0,1.4644521238741686,0.14884054872986863
0.95,no_hidden_moderator_inflation,0.9966666666666667,1.0,2.1022580544579297,1.0,2.098242052904799,0.14892698498685106
0.975,honest_atlas,0.38666666666666666,1.0,3.366651583201892,1.0,2.9463649031291275,0.13115011847551608
0.975,wald_only,1.0,0.33666666666666667,0.1942721925133554,0.33666666666666667,0.1942721925133554,0.14884054872986863
0.975,semantic_forced,1.0,1.0,4.592648387002457,1.0,4.592648387002457,0.20322999726030447
0.975,understated_smoothness,1.0,1.0,1.4888456525337164,1.0,1.4888456525337164,0.14884054872986863
0.975,no_hidden_moderator_inflation,0.9966666666666667,1.0,2.126651583118212,1.0,2.122644768542664,0.14892698498685106
