scenario_key,scenario_label,repetitions,seed_batches,rejected_repetitions,rejection_rate,rejection_ci_lower,rejection_ci_upper,partial_id_nonempty_rate,partial_id_coverage,partial_id_coverage_on_rejected,mean_partial_id_width,mean_partial_id_width_on_rejected,mean_reference_width_on_rejected,mean_width_reduction_fraction_on_rejected,mean_oracle_hull_distance,mean_nonidentification_separation,between_seed_partial_coverage_sd
nominal,nominal support,300,3,155,0.5166666666666667,0.46026528666991656,0.5726465989968257,1.0,1.0,1.0,3.646237624901347,3.646237624901347,3.7517652869054823,0.027428455458808985,6.4211833458003535e-06,1.6759288532538926e-05,0.040414518843273836
moderate_mismatch,moderate semantic mismatch,300,3,233,0.7766666666666666,0.726207930343667,0.8201293717242524,1.0,1.0,1.0,4.094503469104332,4.094503469104332,4.342545225828631,0.05139170327918629,0.13251972262378098,0.34587647604806837,0.056862407030773256
strong_mismatch,strong semantic mismatch,300,3,292,0.9733333333333334,0.9482704597024538,0.9864270932330232,1.0,1.0,1.0,5.674338231846813,5.674338231846813,6.4837106300338805,0.11429603509332051,0.6471379629617185,1.689030083330085,0.01527525231651948
severe_mismatch,severe semantic mismatch,300,3,297,0.99,0.9710159953649371,0.9965934432372818,1.0,1.0,1.0,7.076029232330743,7.076029232330743,8.06755776626678,0.11252168754695568,0.997432615053239,2.597648373586696,0.010000000000000009
