scenario_key,scenario_label,policy_key,repetitions,seed_batches,released_repetitions,release_rate,release_ci_lower,release_ci_upper,mean_raw_mae,released_mae,released_interval_coverage,released_interval_uncovered_rate,released_above_tolerance_rate,overall_interval_coverage,mean_certificate_radius,between_seed_release_sd,between_seed_released_coverage_sd,seed_batch,base_seed
strong_semantic_mismatch,strong semantic mismatch,understated_smoothness,100,1,100,1.0,0.9630051925239981,1.0,0.531738461272642,0.531738461272642,0.87,0.13,0.0,0.87,0.9599930832414132,,,1,20260901
strong_semantic_mismatch,strong semantic mismatch,understated_smoothness,100,1,100,1.0,0.9630051925239981,1.0,0.5103975095583518,0.5103975095583518,0.85,0.15000000000000002,0.0,0.85,0.9610736544222963,,,2,20260902
severe_semantic_mismatch,severe semantic mismatch,certified_atlas,100,1,0,0.0,0.0,0.03699480747600191,0.8250312784143038,,,,,1.0,4.168720312690592,,,0,20260831
severe_semantic_mismatch,severe semantic mismatch,certified_atlas,100,1,1,0.01,0.0017673865655472645,0.0544875247609346,0.7086079025728096,0.23007245513857044,1.0,0.0,0.0,1.0,3.886376366064103,,,1,20260901
severe_semantic_mismatch,severe semantic mismatch,certified_atlas,100,1,1,0.01,0.0017673865655472645,0.0544875247609346,0.6887824304286156,0.12901593778370235,1.0,0.0,0.0,1.0,3.9348419475354275,,,2,20260902
severe_semantic_mismatch,severe semantic mismatch,no_rejection,100,1,100,1.0,0.9630051925239981,1.0,0.8250312784143038,0.8250312784143038,1.0,0.0,1.0,1.0,4.168720312690592,,,0,20260831
severe_semantic_mismatch,severe semantic mismatch,no_rejection,100,1,100,1.0,0.9630051925239981,1.0,0.7086079025728096,0.7086079025728096,1.0,0.0,0.99,1.0,3.886376366064103,,,1,20260901
severe_semantic_mismatch,severe semantic mismatch,no_rejection,100,1,100,1.0,0.9630051925239981,1.0,0.6887824304286156,0.6887824304286156,1.0,0.0,0.99,1.0,3.9348419475354275,,,2,20260902
severe_semantic_mismatch,severe semantic mismatch,understated_smoothness,100,1,100,1.0,0.9630051925239981,1.0,0.8250312784143038,0.8250312784143038,0.69,0.31000000000000005,0.0,0.69,1.0549589697162567,,,0,20260831
severe_semantic_mismatch,severe semantic mismatch,understated_smoothness,100,1,100,1.0,0.9630051925239981,1.0,0.7086079025728096,0.7086079025728096,0.75,0.25,0.0,0.75,1.0398909477504383,,,1,20260901
severe_semantic_mismatch,severe semantic mismatch,understated_smoothness,100,1,100,1.0,0.9630051925239981,1.0,0.6887824304286156,0.6887824304286156,0.73,0.27,0.0,0.73,1.0439819266469756,,,2,20260902
