budget,repetitions,exhaustive_sets_per_repetition,greedy_mean_final_diameter,optimal_mean_final_diameter,greedy_mean_shrinkage,optimal_mean_shrinkage,greedy_to_optimal_value_ratio,greedy_optimal_selection_rate
1,30,12,2.6933164296638354,2.6762821397280323,3.9050462278410625,3.9220805177768656,0.9956568229900954,0.6666666666666666
2,30,66,2.1307472248600376,2.0283587986230414,4.467615432644861,4.570003858881858,0.9775955492820856,0.3333333333333333
3,30,220,1.9322526767123485,1.8646954231182502,4.666109980792551,4.7336672343866475,0.9857283475476809,0.43333333333333335
