scenario_key,scenario_label,repetitions,seed_batches,hull_distance,archive_standard_error,archive_count,information,estimator_standard_error,geometric_scale,geometric_lower_bound,information_scale,statistical_lower_bound,combined_lower_bound,empirical_geometric_worst_mae,analytic_geometric_worst_mae,empirical_statistical_worst_mae,analytic_statistical_worst_mae,empirical_worst_case_mae,analytic_worst_case_mae,empirical_to_lower_bound_ratio,between_seed_worst_case_mae_sd,seed_batch,base_seed
d000_precise,d_star = 0.00; precise archive (s = 0.35),100,1,0.0,0.35,8,65.30612244897961,0.12374368670764581,0.0,0.0,0.12374368670764581,0.011600970628841795,0.011600970628841795,0.10158338618616126,0.09873317712085734,0.09750587907338198,0.09873317712085734,0.10158338618616126,0.09873317712085734,8.756455768762086,,0,20261011
d000_precise,d_star = 0.00; precise archive (s = 0.35),100,1,0.0,0.35,8,65.30612244897961,0.12374368670764581,0.0,0.0,0.12374368670764581,0.011600970628841795,0.011600970628841795,0.09086470254423464,0.09873317712085734,0.09648585897999475,0.09873317712085734,0.09648585897999475,0.09873317712085734,8.317050535419517,,1,20261012
d000_precise,d_star = 0.00; precise archive (s = 0.35),100,1,0.0,0.35,8,65.30612244897961,0.12374368670764581,0.0,0.0,0.12374368670764581,0.011600970628841795,0.011600970628841795,0.09520290261498024,0.09873317712085734,0.1035806127918508,0.09873317712085734,0.1035806127918508,0.09873317712085734,8.928616070653044,,2,20261013
d000_noisy,d_star = 0.00; noisy archive (s = 1.20),100,1,0.0,1.2,8,5.555555555555555,0.4242640687119285,0.0,0.0,0.4242640687119285,0.039774756441743296,0.039774756441743296,0.34828589549541,0.3385137501286538,0.3343058711087382,0.3385137501286538,0.34828589549541,0.3385137501286538,8.756455768762086,,0,20261011
d000_noisy,d_star = 0.00; noisy archive (s = 1.20),100,1,0.0,1.2,8,5.555555555555555,0.4242640687119285,0.0,0.0,0.4242640687119285,0.039774756441743296,0.039774756441743296,0.3115361230088045,0.3385137501286538,0.330808659359982,0.3385137501286538,0.330808659359982,0.3385137501286538,8.317050535419519,,1,20261012
d000_noisy,d_star = 0.00; noisy archive (s = 1.20),100,1,0.0,1.2,8,5.555555555555555,0.4242640687119285,0.0,0.0,0.4242640687119285,0.039774756441743296,0.039774756441743296,0.3264099518227894,0.3385137501286538,0.3551335295720599,0.3385137501286538,0.3551335295720599,0.3385137501286538,8.928616070653044,,2,20261013
d025_precise,d_star = 0.25; precise archive (s = 0.35),100,1,0.25,0.35,8,65.30612244897961,0.12374368670764581,0.6525,0.163125,0.12374368670764581,0.011600970628841795,0.163125,0.18255637912894573,0.173962411056572,0.09750587907338198,0.09873317712085734,0.18255637912894573,0.173962411056572,1.1191195655414299,,0,20261011
d025_precise,d_star = 0.25; precise archive (s = 0.35),100,1,0.25,0.35,8,65.30612244897961,0.12374368670764581,0.6525,0.163125,0.12374368670764581,0.011600970628841795,0.163125,0.18192451675037902,0.173962411056572,0.09648585897999475,0.09873317712085734,0.18192451675037902,0.173962411056572,1.1152460796958101,,1,20261012
d025_precise,d_star = 0.25; precise archive (s = 0.35),100,1,0.25,0.35,8,65.30612244897961,0.12374368670764581,0.6525,0.163125,0.12374368670764581,0.011600970628841795,0.163125,0.1735410077920262,0.173962411056572,0.1035806127918508,0.09873317712085734,0.1735410077920262,0.173962411056572,1.0638529213304289,,2,20261013
d025_noisy,d_star = 0.25; noisy archive (s = 1.20),100,1,0.25,1.2,8,5.555555555555555,0.4242640687119285,0.6525,0.163125,0.4242640687119285,0.039774756441743296,0.163125,0.3813185797383413,0.36323158587790155,0.3343058711087382,0.3385137501286538,0.3813185797383413,0.36323158587790155,2.33758516314692,,0,20261011
d025_noisy,d_star = 0.25; noisy archive (s = 1.20),100,1,0.25,1.2,8,5.555555555555555,0.4242640687119285,0.6525,0.163125,0.4242640687119285,0.039774756441743296,0.163125,0.3697151943178554,0.36323158587790155,0.330808659359982,0.3385137501286538,0.3697151943178554,0.36323158587790155,2.266453298500263,,1,20261012
d025_noisy,d_star = 0.25; noisy archive (s = 1.20),100,1,0.25,1.2,8,5.555555555555555,0.4242640687119285,0.6525,0.163125,0.4242640687119285,0.039774756441743296,0.163125,0.3583600078606132,0.36323158587790155,0.3551335295720599,0.3385137501286538,0.3583600078606132,0.36323158587790155,2.196842960065062,,2,20261013
d060_precise,d_star = 0.60; precise archive (s = 0.35),100,1,0.6,0.35,8,65.30612244897961,0.12374368670764581,1.5659999999999998,0.39149999999999996,0.12374368670764581,0.011600970628841795,0.39149999999999996,0.4010405787141205,0.39155240469787106,0.09750587907338198,0.09873317712085734,0.4010405787141205,0.39155240469787106,1.0243692942889415,,0,20261011
d060_precise,d_star = 0.60; precise archive (s = 0.35),100,1,0.6,0.35,8,65.30612244897961,0.12374368670764581,1.5659999999999998,0.39149999999999996,0.12374368670764581,0.011600970628841795,0.39149999999999996,0.4007572828850484,0.39155240469787106,0.09648585897999475,0.09873317712085734,0.4007572828850484,0.39155240469787106,1.0236456778673013,,1,20261012
d060_precise,d_star = 0.60; precise archive (s = 0.35),100,1,0.6,0.35,8,65.30612244897961,0.12374368670764581,1.5659999999999998,0.39149999999999996,0.12374368670764581,0.011600970628841795,0.39149999999999996,0.39270786522599205,0.39155240469787106,0.1035806127918508,0.09873317712085734,0.39270786522599205,0.39155240469787106,1.0030852240766082,,2,20261013
