sweep_key,sweep_label,level,method,repetitions,accepted_repetitions,acceptance_rate,rejection_rate,accepted_mae,accepted_rmse,accepted_bias,accepted_sign_accuracy,interval_coverage,mean_interval_width,mean_certificate_radius,mean_representation_term,mean_curvature_term,mean_hidden_moderator_term
semantic_shift_fraction,semantic mismatch fraction,0.0,atlas,200,103,0.515,0.485,0.11147320549799405,0.14251762013144476,-0.08769511145155567,0.883495145631068,1.0,3.3182269310839776,1.6591134655419888,0.009818854573592767,0.9128883804370372,0.6200000000000001
semantic_shift_fraction,semantic mismatch fraction,0.0,atlas_no_rejection,200,200,1.0,0.0,0.14133781612631272,0.17383376636957615,-0.12787801331937215,0.855,1.0,3.3182269310839776,1.6591134655419888,0.009818854573592767,0.9128883804370372,0.6200000000000001
semantic_shift_fraction,semantic mismatch fraction,0.0,semantic_forced,200,200,1.0,0.0,0.2042850944582665,0.2673418542993896,-0.12556773249761094,0.85,1.0,4.407124070358102,2.203562035179051,0.592613697001486,0.8885263723266189,0.6200000000000001
semantic_shift_fraction,semantic mismatch fraction,0.0,nearest_semantic,200,200,1.0,0.0,0.4846377558431289,0.59226029824392,-0.07577838915560965,0.715,1.0,4.949304398452776,2.474652199226388,1.5830318960782643,0.0,0.6200000000000001
semantic_shift_fraction,semantic mismatch fraction,0.0,global_mean,200,200,1.0,0.0,0.27575058045633066,0.35464869895245743,-0.13649502775745603,0.775,1.0,5.182649912440063,2.5913249562200313,0.8413799432016631,1.033912733886376,0.6200000000000001
semantic_shift_fraction,semantic mismatch fraction,0.1,atlas,200,86,0.43,0.57,0.11568324244096996,0.14126751295273202,-0.08738724447746363,0.8953488372093024,1.0,3.419360902039259,1.7096804510196295,0.04390398181136451,0.9192881170249728,0.6200000000000001
semantic_shift_fraction,semantic mismatch fraction,0.1,atlas_no_rejection,200,200,1.0,0.0,0.1647290054856747,0.2002807027699167,-0.148031579293357,0.865,1.0,3.419360902039259,1.7096804510196295,0.04390398181136451,0.9192881170249728,0.6200000000000001
semantic_shift_fraction,semantic mismatch fraction,0.1,semantic_forced,200,200,1.0,0.0,0.2803017655246578,0.3426044098621398,-0.2529941136017173,0.745,1.0,4.608994414934557,2.3044972074672785,0.6875808212021275,0.8945691808339379,0.6200000000000001
semantic_shift_fraction,semantic mismatch fraction,0.1,nearest_semantic,200,200,1.0,0.0,0.5032110578955585,0.6216044574420493,-0.09850816694432123,0.695,1.0,4.99808949098068,2.49904474549034,1.6074244423422157,0.0,0.6200000000000001
semantic_shift_fraction,semantic mismatch fraction,0.1,global_mean,200,200,1.0,0.0,0.3565490854690065,0.43286657640025705,-0.3068295913754936,0.695,1.0,5.344533340516871,2.6722666702584355,0.9223216572400667,1.033912733886376,0.6200000000000001
