hidden_shift_fraction,proxy_uncertainty,repetitions,seed_batches,mean_realized_hidden_shift,atlas_acceptance_rate,atlas_accepted_mae,atlas_no_rejection_mae,semantic_forced_mae,representation_advantage,selection_gain,mean_certificate_radius
0.0,0.05,300,3,2.247189702838289e-17,0.9666666666666667,0.12859462383175324,0.13137584969485683,0.2560858180497697,0.12470996835491288,0.002781225863103587,1.2242018796910985
0.0,0.1,300,3,2.247189702838289e-17,0.8866666666666667,0.12422403314900801,0.13285769594044808,0.2560858180497697,0.12322812210932163,0.008633662791440067,1.3789802645049507
0.0,0.2,300,3,2.247189702838289e-17,0.45666666666666667,0.11239115437156909,0.13974097499981583,0.2560858180497697,0.11634484304995388,0.027349820628246743,1.690179028729119
0.0,0.3,300,3,2.247189702838289e-17,0.043333333333333335,0.08382350193629526,0.15117126250046112,0.2560858180497697,0.10491455554930859,0.06734776056416586,2.0035611095691803
0.0,0.4,300,3,2.247189702838289e-17,0.0033333333333333335,0.10213406599085229,0.1653809118553295,0.2560858180497697,0.09070490619444022,0.06324684586447721,2.3194364451613776
0.2,0.05,300,3,0.19831409137605271,0.9433333333333334,0.13551476266022086,0.1416038984050869,0.3715725049217544,0.22996860651666753,0.0060891357448660255,1.2347109034609949
0.2,0.1,300,3,0.19831409137605271,0.85,0.13120502855764798,0.14451136466645279,0.3715725049217544,0.22706114025530164,0.0133063361088048,1.391232393203824
0.2,0.2,300,3,0.19831409137605271,0.4166666666666667,0.12181507946990541,0.15350076992823367,0.3715725049217544,0.21807173499352075,0.03168569045832825,1.7067522605872492
0.2,0.3,300,3,0.19831409137605271,0.056666666666666664,0.11688911949119063,0.16664586476250035,0.3715725049217544,0.20492664015925408,0.049756745271309716,2.026010054583489
0.2,0.4,300,3,0.19831409137605271,0.0,,0.1831563474151809,0.3715725049217544,0.18841615750657353,,2.347032299993445
0.4,0.05,300,3,0.39662818275210543,0.8533333333333334,0.16550042453979957,0.18643462612783304,0.5583854071359331,0.3719507810081001,0.02093420158803347,1.350472069032085
0.4,0.1,300,3,0.39662818275210543,0.7033333333333334,0.15510260801932932,0.18946356462320388,0.5583854071359331,0.3689218425127292,0.03436095660387456,1.5063351545179589
0.4,0.2,300,3,0.39662818275210543,0.32666666666666666,0.12404106258115762,0.1976814722604501,0.5583854071359331,0.360703934875483,0.07364040967929249,1.8201675035640437
0.4,0.3,300,3,0.39662818275210543,0.08333333333333333,0.12598453792932937,0.2106549138038112,0.5583854071359331,0.3477304933321219,0.08467037587448184,2.136361725895079
0.4,0.4,300,3,0.39662818275210543,0.0,,0.2273217629193246,0.5583854071359331,0.3310636442166085,,2.4574963788343154
0.6,0.05,300,3,0.5949422741281581,0.6,0.18003242374375472,0.26707392546652053,0.7721260268529724,0.5050521013864518,0.08704150172276581,1.580849132575854
0.6,0.1,300,3,0.5949422741281581,0.43333333333333335,0.15951252122713724,0.2699332811441835,0.7721260268529724,0.5021927457087889,0.11042075991704628,1.7350636109914346
0.6,0.2,300,3,0.5949422741281581,0.23,0.1465295079822425,0.2776295932750737,0.7721260268529724,0.4944964335778987,0.13110008529283118,2.0466706789199653
0.6,0.3,300,3,0.5949422741281581,0.05,0.12811127313575346,0.2882551580658797,0.7721260268529724,0.4838708687870927,0.16014388493012624,2.359180461448348
0.6,0.4,300,3,0.5949422741281581,0.0,,0.30157659924688013,0.7721260268529724,0.47054942760609225,,2.677964584801596
0.8,0.05,300,3,0.7932563655042109,0.37333333333333335,0.22116442002157224,0.38351059547548433,0.989530190614458,0.6060195951389737,0.16234617545391208,1.897527077139201
0.8,0.1,300,3,0.7932563655042109,0.26,0.20691475158785835,0.386072678872343,0.989530190614458,0.603457511742115,0.17915792728448462,2.052927925556952
0.8,0.2,300,3,0.7932563655042109,0.09333333333333334,0.18144245545350235,0.3924854226686665,0.989530190614458,0.5970447679457915,0.21104296721516413,2.3652096807943703
0.8,0.3,300,3,0.7932563655042109,0.013333333333333334,0.12778574749880475,0.4018256722480403,0.989530190614458,0.5877045183664178,0.27403992474923555,2.675974310579711
0.8,0.4,300,3,0.7932563655042109,0.0,,0.4137694444542626,0.989530190614458,0.5757607461601955,,2.9840908979534637
